Case 1   คีย์ Amount,,,,,,,,,,,Case 1-1  คีย์ Net Amount (back),,,,,,,,,,,,
No.,Item code,QTY, Unit Price , Gross Price , Amount , VAT , CM-VAT , Net Amount , CM-Net Amount ,,No.,Item code,QTY, Unit Price , Gross Price , Amount , VAT , CM-VAT , Net Amount , CM-Net Amount ,,,
1,A001,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,1,A001,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,Amount+vat," 80,999.96 "
2,A002,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,2,A002,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,Amount+vat CM," 81,000.00 "
3,A003,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,3,A003,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,,
4,A004,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,4,A004,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,,
5,A005,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,5,A005,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,,
6,A006,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,6,A006,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,,
7,A007,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,7,A007,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,,
8,A008,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,8,A008,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,,
9,A009,1," 8,411.21 "," 8,999.99 "," 8,411.21 ", 588.7847 ,588.7800," 8,999.99 ","8,999.9900",,9,A009,1," 8,411.21 "," 9,000.00 ","8,411.21", 588.7850 , 588.79 ," 9,000.00 ","9,000.0000",,,
Total Doc,,,,," 75,700.89 "," 5,299.06 "," 5,299.02 "," 80,999.95 ","80,999.91",,Total Doc,,,,," 75,700.89 "," 5,299.07 "," 5,299.11 "," 81,000.00 ","81,000.00",,,
,,,,,,,,,,,,,,,,,,,,,,,
Case 2,,,,,,,,,,,,,,,,,,,,,,,
No.,Item code,QTY, Unit Price , Gross Price , Amount , VAT , CM-VAT , Net Amount , CM-Net Amount ,,,,,,,,,,,,,,
1,B001,13," 3,500.00 "," 3,745.00 "," 45,500.00 "," 3,185.00 ",3185.0000," 48,685.00 ","48,685.0000",,,,,,,,,,,,,,
2,B002,7," 1,417.05 "," 1,516.24 "," 9,919.35 ", 694.35 ,694.3500," 10,613.70 ","10,613.7000",,,,,,,,,,,,,,
3,B003,2, 63.00 , 67.41 , 126.00 , 8.82 ,8.8200, 134.82 ,134.8200,,,,,,,,,,,,,,
